C:\Users\simio\AppData\Local\Programs\Python\Python310\python.exe "D:\Facultate\Master\Anul 1\Semestrul 2\Analiza Experimentala a Algoritmilor\EAA-Graph-Coloring\Graph Neural Network\main.py"
For device: cuda
Dataset name:RE B 100k with 3-6 CN
no epochs:200,batch_size:128,train_percentage:0.9
Name:1
type:BasicLayers,no_node_features:1,no_hidden_units:80)
linear_layer_dropout:0.25,conv_layer_dropout:0.1
No Params:26561
For RE B 100k with 3-6 CN
{4: 29175, 3: 8954, 5: 33302, 6: 28518, 7: 51}
Epoch: 001, Train Loss: 71.9113, Val Loss: 4.0867, Test Loss: 4.2219
Epoch: 002, Train Loss: 92.5388, Val Loss: 5.3354, Test Loss: 5.3470
Epoch: 003, Train Loss: 65.9597, Val Loss: 3.7683, Test Loss: 3.8625
Epoch: 004, Train Loss: 81.6286, Val Loss: 4.7117, Test Loss: 4.7198
Epoch: 005, Train Loss: 68.9242, Val Loss: 3.9455, Test Loss: 4.0407
Epoch: 006, Train Loss: 69.7886, Val Loss: 3.9901, Test Loss: 4.0863
Epoch: 007, Train Loss: 80.5387, Val Loss: 4.6220, Test Loss: 4.6905
Epoch: 008, Train Loss: 70.5761, Val Loss: 4.0589, Test Loss: 4.1118
Epoch: 009, Train Loss: 68.1718, Val Loss: 3.9010, Test Loss: 3.9919
Epoch: 010, Train Loss: 71.5857, Val Loss: 4.0997, Test Loss: 4.1823
Epoch: 011, Train Loss: 64.0591, Val Loss: 3.6544, Test Loss: 3.7521
Epoch: 012, Train Loss: 64.0944, Val Loss: 3.6706, Test Loss: 3.7377
Epoch: 013, Train Loss: 63.9201, Val Loss: 3.6734, Test Loss: 3.7187
Epoch: 014, Train Loss: 64.2418, Val Loss: 3.6923, Test Loss: 3.7463
Epoch: 015, Train Loss: 67.3423, Val Loss: 3.8475, Test Loss: 3.9543
Epoch: 016, Train Loss: 65.8138, Val Loss: 3.7849, Test Loss: 3.8103
Epoch: 017, Train Loss: 65.7518, Val Loss: 3.7508, Test Loss: 3.8511
Epoch: 018, Train Loss: 65.3920, Val Loss: 3.7436, Test Loss: 3.8196
Epoch: 019, Train Loss: 63.7379, Val Loss: 3.6609, Test Loss: 3.7029
Epoch: 020, Train Loss: 68.0837, Val Loss: 3.8887, Test Loss: 3.9730
Epoch: 021, Train Loss: 63.9479, Val Loss: 3.6846, Test Loss: 3.7122
Epoch: 022, Train Loss: 73.8078, Val Loss: 4.2301, Test Loss: 4.2988
Epoch: 023, Train Loss: 66.8719, Val Loss: 3.8171, Test Loss: 3.8945
Epoch: 024, Train Loss: 64.5248, Val Loss: 3.6705, Test Loss: 3.7802
Epoch: 025, Train Loss: 65.2161, Val Loss: 3.7026, Test Loss: 3.8350
Epoch: 026, Train Loss: 67.3334, Val Loss: 3.8526, Test Loss: 3.9083
Epoch: 027, Train Loss: 63.7845, Val Loss: 3.6438, Test Loss: 3.7288
Epoch: 028, Train Loss: 65.6919, Val Loss: 3.7253, Test Loss: 3.8547
Epoch: 029, Train Loss: 63.3488, Val Loss: 3.6235, Test Loss: 3.7013
Epoch: 030, Train Loss: 64.3169, Val Loss: 3.6775, Test Loss: 3.7596
Epoch: 031, Train Loss: 66.0842, Val Loss: 3.8067, Test Loss: 3.8336
Epoch: 032, Train Loss: 63.1534, Val Loss: 3.6199, Test Loss: 3.6758
Epoch: 033, Train Loss: 63.3908, Val Loss: 3.6213, Test Loss: 3.6993
Epoch: 034, Train Loss: 63.3226, Val Loss: 3.6201, Test Loss: 3.6967
Epoch: 035, Train Loss: 63.6274, Val Loss: 3.6306, Test Loss: 3.7195
Epoch: 036, Train Loss: 63.6172, Val Loss: 3.6420, Test Loss: 3.7085
Epoch: 037, Train Loss: 64.1951, Val Loss: 3.6686, Test Loss: 3.7512
Epoch: 038, Train Loss: 63.2971, Val Loss: 3.6301, Test Loss: 3.6884
Epoch: 039, Train Loss: 63.3586, Val Loss: 3.6193, Test Loss: 3.6989
Epoch: 040, Train Loss: 63.1443, Val Loss: 3.6216, Test Loss: 3.6767
Epoch: 041, Train Loss: 64.9146, Val Loss: 3.7087, Test Loss: 3.7977
Epoch: 042, Train Loss: 64.0689, Val Loss: 3.6608, Test Loss: 3.7337
Epoch: 043, Train Loss: 63.2649, Val Loss: 3.6177, Test Loss: 3.6959
Epoch: 044, Train Loss: 63.0764, Val Loss: 3.6101, Test Loss: 3.6798
Epoch: 045, Train Loss: 65.5894, Val Loss: 3.7224, Test Loss: 3.8484
Epoch: 046, Train Loss: 63.5201, Val Loss: 3.6124, Test Loss: 3.7254
Epoch: 047, Train Loss: 63.2694, Val Loss: 3.6192, Test Loss: 3.6873
Epoch: 048, Train Loss: 63.2034, Val Loss: 3.6088, Test Loss: 3.6970
